timestamp_utc,phase,elapsed_seconds,temperature_c,gpu_memory_used_mb,io_mb_s,free_memory_mb,page_file_usage_mb
2026-08-01T16:07:23.6371255Z,runner,338.157,83,1797,0.004,6255,112
2026-08-01T16:07:25.1331627Z,runner,339.654,83,1797,0.004,6227,112
2026-08-01T16:07:26.6415522Z,runner,341.162,83,1797,0.004,6208,112
2026-08-01T16:07:28.1839101Z,runner,342.704,83,1797,0.004,6149,112
2026-08-01T16:07:29.6952582Z,runner,344.216,83,1797,0.004,6159,112
2026-08-01T16:07:31.1338046Z,runner,345.654,83,1797,0.005,6538,112
2026-08-01T16:07:32.5572704Z,runner,347.078,83,1797,0.004,6652,112
2026-08-01T16:07:33.9833923Z,runner,348.504,84,1797,0.006,6628,112
2026-08-01T16:07:35.3401021Z,runner,349.860,84,1797,0.005,6691,112
2026-08-01T16:07:36.6921602Z,runner,351.213,84,1797,0.007,6596,112
2026-08-01T16:07:38.0718213Z,runner,352.592,84,1797,0.007,6622,112
2026-08-01T16:07:39.4179431Z,runner,353.938,84,1797,0.004,6575,112
2026-08-01T16:07:40.8359134Z,runner,355.356,84,1797,0.007,6552,112
2026-08-01T16:07:42.2219746Z,runner,356.742,84,1797,0.006,6592,112
2026-08-01T16:07:43.6150941Z,runner,358.135,84,1797,0.004,6586,112
2026-08-01T16:07:45.0085972Z,runner,359.529,84,1797,0.004,6567,112
2026-08-01T16:07:46.3868446Z,runner,360.907,84,1797,0.006,6619,112
2026-08-01T16:07:47.7596840Z,runner,362.280,84,1797,0.004,6558,112
2026-08-01T16:07:49.2305344Z,runner,363.751,84,1797,0.006,6569,112
2026-08-01T16:07:50.6123820Z,runner,365.133,84,1797,0.006,6577,112
2026-08-01T16:07:51.9764035Z,runner,366.497,84,1797,0.004,6572,112
2026-08-01T16:07:53.3773933Z,runner,367.898,84,1797,0.006,6663,112
2026-08-01T16:07:54.8094116Z,runner,369.330,84,1797,0.005,6667,112
2026-08-01T16:07:56.2103117Z,runner,370.731,84,1797,0.005,6639,112
2026-08-01T16:07:57.6225307Z,runner,372.143,84,1797,0.005,6632,112
2026-08-01T16:07:59.0119545Z,runner,373.532,84,1797,0.007,6625,112
2026-08-01T16:08:00.3601366Z,runner,374.880,84,1797,0.007,6643,112
2026-08-01T16:08:01.7123654Z,runner,376.233,84,1797,0.004,6628,112
2026-08-01T16:08:03.1531740Z,runner,377.674,84,1797,0.005,6622,112
2026-08-01T16:08:04.6139928Z,runner,379.134,84,1797,0.006,6630,112
2026-08-01T16:08:06.0259859Z,runner,380.546,84,1797,0.005,6558,112
2026-08-01T16:08:07.5248769Z,runner,382.045,84,1797,0.003,6360,112
2026-08-01T16:08:08.9863676Z,runner,383.507,84,1797,0.005,6352,112
2026-08-01T16:08:10.3601231Z,runner,384.880,84,1797,0.004,6217,112
2026-08-01T16:08:11.8712144Z,runner,386.392,84,1797,0.003,6069,112
2026-08-01T16:08:13.3925820Z,runner,387.913,84,1797,0.004,6029,112
2026-08-01T16:08:14.8865745Z,runner,389.407,84,1797,0.004,6635,112
2026-08-01T16:08:16.2099889Z,runner,390.730,84,1797,0.007,6626,112
2026-08-01T16:08:17.5820792Z,runner,392.102,84,1797,0.006,6616,111
2026-08-01T16:08:18.9557760Z,runner,393.476,84,1797,0.004,6598,106
2026-08-01T16:08:20.3863135Z,runner,394.907,84,1797,0.005,6572,105
2026-08-01T16:08:21.7436652Z,runner,396.264,84,1797,0.006,6651,105
2026-08-01T16:08:23.1112150Z,runner,397.632,84,1797,0.007,6634,105
2026-08-01T16:08:24.4218344Z,runner,398.942,84,1797,0.005,6607,105
2026-08-01T16:08:25.8098532Z,runner,400.330,83,1529,0.085,6630,105
2026-08-01T16:08:27.1810059Z,runner,401.701,83,1529,0.000,7577,105
2026-08-01T16:08:28.6493616Z,analysis,1.065,84,0,996.796,8377,105
2026-08-01T16:08:30.7164768Z,analysis,3.132,84,0,537.955,8414,105
2026-08-01T16:08:32.7440346Z,analysis,5.159,84,0,493.204,8343,105
2026-08-01T16:08:34.7158581Z,analysis,7.131,83,0,118.949,8397,105
2026-08-01T16:08:36.6983976Z,analysis,9.114,84,0,0.069,8373,105
2026-08-01T16:08:38.1779435Z,analysis,10.593,83,0,0.144,8485,105
2026-08-01T16:08:40.1292869Z,analysis,12.545,83,0,0.136,8508,105
2026-08-01T16:08:42.0702024Z,analysis,14.486,83,0,0.000,8497,105
