error_family,policy_id,optimizer_family,checkpoint,crossing_fraction_descriptive,mean_margin
diffuse_low_error,best_of_n:n=8,best_of_n,262144,1.0,0.2705418375755183
diffuse_low_error,best_of_n:n=8,best_of_n,524288,1.0,0.28484996801937174
diffuse_low_error,best_of_n:n=8,best_of_n,1048576,1.0,0.29621115835818135
diffuse_low_error,best_of_n:n=16,best_of_n,32,0.0,-1.0694671017622825
diffuse_low_error,best_of_n:n=16,best_of_n,64,0.0,-0.8290923678415376
diffuse_low_error,best_of_n:n=16,best_of_n,128,0.0,-0.6271360669292158
diffuse_low_error,best_of_n:n=16,best_of_n,256,0.0,-0.45754684947420676
diffuse_low_error,best_of_n:n=16,best_of_n,512,0.0,-0.31519141116860566
diffuse_low_error,best_of_n:n=16,best_of_n,1024,0.0,-0.19581329689670218
diffuse_low_error,best_of_n:n=16,best_of_n,2048,0.0,-0.09580131102706585
diffuse_low_error,best_of_n:n=16,best_of_n,4096,0.0,-0.012141734520985815
diffuse_low_error,best_of_n:n=16,best_of_n,8192,1.0,0.05769528339327251
diffuse_low_error,best_of_n:n=16,best_of_n,16384,1.0,0.11582530279741991
diffuse_low_error,best_of_n:n=16,best_of_n,32768,1.0,0.16403190262383968
diffuse_low_error,best_of_n:n=16,best_of_n,65536,1.0,0.203801417619975
diffuse_low_error,best_of_n:n=16,best_of_n,131072,1.0,0.23638705690344988
diffuse_low_error,best_of_n:n=16,best_of_n,262144,1.0,0.26286252645522373
diffuse_low_error,best_of_n:n=16,best_of_n,524288,1.0,0.28414689557413003
diffuse_low_error,best_of_n:n=16,best_of_n,1048576,1.0,0.3010474801578593
diffuse_low_error,best_of_n:n=32,best_of_n,32,0.0,-1.2556355194637434
diffuse_low_error,best_of_n:n=32,best_of_n,64,0.0,-1.2556355194637434
diffuse_low_error,best_of_n:n=32,best_of_n,128,0.0,-1.069727015350612
diffuse_low_error,best_of_n:n=32,best_of_n,256,0.0,-0.825795835649731
diffuse_low_error,best_of_n:n=32,best_of_n,512,0.0,-0.6210367682760425
diffuse_low_error,best_of_n:n=32,best_of_n,1024,0.0,-0.4493274775451187
diffuse_low_error,best_of_n:n=32,best_of_n,2048,0.0,-0.305473746373322
diffuse_low_error,best_of_n:n=32,best_of_n,4096,0.0,-0.1851407470432312
diffuse_low_error,best_of_n:n=32,best_of_n,8192,0.0,-0.08468963097427479
diffuse_low_error,best_of_n:n=32,best_of_n,16384,0.0,-0.0010774507774377999
diffuse_low_error,best_of_n:n=32,best_of_n,32768,1.0,0.06826123089993053
diffuse_low_error,best_of_n:n=32,best_of_n,65536,1.0,0.12546430580481233
diffuse_low_error,best_of_n:n=32,best_of_n,131072,1.0,0.17233434595836233
diffuse_low_error,best_of_n:n=32,best_of_n,262144,1.0,0.2104157323685112
diffuse_low_error,best_of_n:n=32,best_of_n,524288,1.0,0.24103042206563888
diffuse_low_error,best_of_n:n=32,best_of_n,1048576,1.0,0.2653396299092172
diffuse_low_error,top_spike:alpha=0.1,top_spike,32,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,64,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,128,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,256,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,512,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,1024,0.0,-0.14016216858814323
diffuse_low_error,top_spike:alpha=0.1,top_spike,2048,0.0,-0.11061484204262909
diffuse_low_error,top_spike:alpha=0.1,top_spike,4096,0.0,-0.08589863623799016
diffuse_low_error,top_spike:alpha=0.1,top_spike,8192,0.0,-0.06526613748961774
diffuse_low_error,top_spike:alpha=0.1,top_spike,16384,0.0,-0.04809232926556889
diffuse_low_error,top_spike:alpha=0.1,top_spike,32768,0.0,-0.03385027483244526
diffuse_low_error,top_spike:alpha=0.1,top_spike,65536,0.0,-0.02210085464115709
diffuse_low_error,top_spike:alpha=0.1,top_spike,131072,0.0,-0.0124738232785544
diffuse_low_error,top_spike:alpha=0.1,top_spike,262144,0.0,-0.00465196735308797
diffuse_low_error,top_spike:alpha=0.1,top_spike,524288,1.0,0.0016362409971725214
diffuse_low_error,top_spike:alpha=0.1,top_spike,1048576,1.0,0.006629313449072916
diffuse_low_error,top_spike:alpha=0.25,top_spike,32,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,64,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,128,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,256,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,512,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,1024,0.0,-0.350405421470358
diffuse_low_error,top_spike:alpha=0.25,top_spike,2048,0.0,-0.27653710510657264
diffuse_low_error,top_spike:alpha=0.25,top_spike,4096,0.0,-0.21474659059497536
diffuse_low_error,top_spike:alpha=0.25,top_spike,8192,0.0,-0.1631653437240443
diffuse_low_error,top_spike:alpha=0.25,top_spike,16384,0.0,-0.12023082316392218
diffuse_low_error,top_spike:alpha=0.25,top_spike,32768,0.0,-0.08462568708111312
diffuse_low_error,top_spike:alpha=0.25,top_spike,65536,0.0,-0.055252136602892715
diffuse_low_error,top_spike:alpha=0.25,top_spike,131072,0.0,-0.031184558196385992
diffuse_low_error,top_spike:alpha=0.25,top_spike,262144,0.0,-0.011629918382719916
diffuse_low_error,top_spike:alpha=0.25,top_spike,524288,1.0,0.00409060249293131
diffuse_low_error,top_spike:alpha=0.25,top_spike,1048576,1.0,0.0165732836226823
diffuse_low_error,top_spike:alpha=0.5,top_spike,32,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,64,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,128,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,256,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,512,0.0,-0.734375
diffuse_low_error,top_spike:alpha=0.5,top_spike,1024,0.0,-0.700810842940716
diffuse_low_error,top_spike:alpha=0.5,top_spike,2048,0.0,-0.5530742102131453
diffuse_low_error,top_spike:alpha=0.5,top_spike,4096,0.0,-0.4294931811899507
diffuse_low_error,top_spike:alpha=0.5,top_spike,8192,0.0,-0.3263306874480886
diffuse_low_error,top_spike:alpha=0.5,top_spike,16384,0.0,-0.24046164632784436
diffuse_low_error,top_spike:alpha=0.5,top_spike,32768,0.0,-0.16925137416222624
diffuse_low_error,top_spike:alpha=0.5,top_spike,65536,0.0,-0.11050427320578543
diffuse_low_error,top_spike:alpha=0.5,top_spike,131072,0.0,-0.062369116392771984
diffuse_low_error,top_spike:alpha=0.5,top_spike,262144,0.0,-0.023259836765439832
diffuse_low_error,top_spike:alpha=0.5,top_spike,524288,1.0,0.00818120498586262
diffuse_low_error,top_spike:alpha=0.5,top_spike,1048576,1.0,0.0331465672453646
diffuse_low_error,top_spike:alpha=0.75,top_spike,32,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,64,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,128,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,256,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,512,0.0,-1.1015625
diffuse_low_error,top_spike:alpha=0.75,top_spike,1024,0.0,-1.051216264411074
diffuse_low_error,top_spike:alpha=0.75,top_spike,2048,0.0,-0.829611315319718
diffuse_low_error,top_spike:alpha=0.75,top_spike,4096,0.0,-0.644239771784926
diffuse_low_error,top_spike:alpha=0.75,top_spike,8192,0.0,-0.4894960311721329
diffuse_low_error,top_spike:alpha=0.75,top_spike,16384,0.0,-0.3606924694917666
diffuse_low_error,top_spike:alpha=0.75,top_spike,32768,0.0,-0.2538770612433394
diffuse_low_error,top_spike:alpha=0.75,top_spike,65536,0.0,-0.16575640980867817
