error_family,policy_id,optimizer_family,checkpoint,empirical_bernstein_crossing_fraction_descriptive,mean_margin
diffuse_low_error,best_of_n:n=32,best_of_n,16384,1.0,0.29196597516622086
diffuse_low_error,best_of_n:n=32,best_of_n,32768,1.0,0.3142945895630564
diffuse_low_error,best_of_n:n=32,best_of_n,65536,1.0,0.3267908650537821
diffuse_low_error,best_of_n:n=32,best_of_n,131072,1.0,0.3335168724813651
diffuse_low_error,best_of_n:n=32,best_of_n,262144,1.0,0.33705457820953544
diffuse_low_error,best_of_n:n=32,best_of_n,524288,1.0,0.33889613116713835
diffuse_low_error,best_of_n:n=32,best_of_n,1048576,1.0,0.3398510988953334
diffuse_low_error,top_spike:alpha=0.1,top_spike,32,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,64,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,128,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,256,0.0,-0.14687500000000003
diffuse_low_error,top_spike:alpha=0.1,top_spike,512,0.0,-0.09651614015840576
diffuse_low_error,top_spike:alpha=0.1,top_spike,1024,0.0,-0.0555162813266
diffuse_low_error,top_spike:alpha=0.1,top_spike,2048,0.0,-0.02725539868085221
diffuse_low_error,top_spike:alpha=0.1,top_spike,4096,0.0,-0.008160907026742648
diffuse_low_error,top_spike:alpha=0.1,top_spike,8192,1.0,0.004320486223432769
diffuse_low_error,top_spike:alpha=0.1,top_spike,16384,1.0,0.012098322223567139
diffuse_low_error,top_spike:alpha=0.1,top_spike,32768,1.0,0.01668458394592916
diffuse_low_error,top_spike:alpha=0.1,top_spike,65536,1.0,0.01925129896624534
diffuse_low_error,top_spike:alpha=0.1,top_spike,131072,1.0,0.02063281014563219
diffuse_low_error,top_spike:alpha=0.1,top_spike,262144,1.0,0.021359449249955132
diffuse_low_error,top_spike:alpha=0.1,top_spike,524288,1.0,0.021737701285171156
diffuse_low_error,top_spike:alpha=0.1,top_spike,1048576,1.0,0.021933850130776755
diffuse_low_error,top_spike:alpha=0.25,top_spike,32,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,64,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,128,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,256,0.0,-0.3671875
diffuse_low_error,top_spike:alpha=0.25,top_spike,512,0.0,-0.24129035039601437
diffuse_low_error,top_spike:alpha=0.25,top_spike,1024,0.0,-0.13879070331649995
diffuse_low_error,top_spike:alpha=0.25,top_spike,2048,0.0,-0.06813849670213051
diffuse_low_error,top_spike:alpha=0.25,top_spike,4096,0.0,-0.020402267566856612
diffuse_low_error,top_spike:alpha=0.25,top_spike,8192,1.0,0.01080121555858193
diffuse_low_error,top_spike:alpha=0.25,top_spike,16384,1.0,0.03024580555891785
diffuse_low_error,top_spike:alpha=0.25,top_spike,32768,1.0,0.0417114598648229
diffuse_low_error,top_spike:alpha=0.25,top_spike,65536,1.0,0.048128247415613355
