n,k,flip_rate,plan,observation_order,intervention_width,query_count,samples_per_query,total_samples,cutoff,fwer_upper,power_lower,feasible
16,6,3/20,containment_s8,0,8,12870,63,810810,13,1398468684882555/36028797018963968,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s9,0,9,11440,63,720720,13,155385409431395/4503599627370496,4236442098593202981007770476839304386816006884517203226173014661443339822602039/4611686018427387904000000000000000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s10,0,10,8008,59,472472,12,369709852174663/9007199254740992,130315709922887558783188381993623192316718461585418863161333794487859826681/144115188075855872000000000000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s11,0,11,4368,58,253344,12,80847477028227/2251799813685248,65866455761346270594918473823800447770672138918336439726370825195523018621/72057594037927936000000000000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s12,0,12,1820,53,96460,11,11513897493735/281474976710656,409526392435257307874911816617053889260761432164213328980479568289/450359962737049600000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s13,0,13,560,48,26880,10,303904911485/8796093022208,127284343431166785096227807024764137712154493337155587860774751/140737488355328000000000000000000000000000000000000000000000000,1
16,6,3/20,containment_s14,0,14,120,42,5040,9,8956816365/274877906944,400844266087307031258167920438768609048657884454258003/439804651110400000000000000000000000000000000000000000,1
16,6,3/20,containment_s15,0,15,16,32,512,7,4514873/134217728,7766676588385517814484949135630046419297/8589934592000000000000000000000000000000,1
16,6,3/20,full_clamp,0,16,1,17,17,4,1607/32768,59066943224413682347/65536000000000000000,1
16,6,1/4,boundary_s0,6,0,8008,128,1025024,38,838416688867939437958626064875507773/21267647932558653966460912964485513216,52445555550515825008882443267310377938604575734242036562942186432451529611573/57896044618658097711785492504343953926634992332820282019728792003956564819968,1
16,6,1/4,boundary_s1,5,1,48048,143,6870864,42,3659471394258661313405246258496022174563/87112285931760246646623899502532662132736,7010207839271535363926407865490732147682117932256490870167190602073732209275833130379/7770675568902916283677847627294075626569627356208558085007249638955617140820833992704,1
16,6,1/4,boundary_s2,4,2,120120,153,18378360,45,1995311190690782757765713235219747518210715/44601490397061246283071436545296723011960832,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
16,6,1/4,boundary_s3,3,3,160160,154,24664640,45,934130889657618959693902299325231086581185/22300745198530623141535718272648361505980416,14699905568265476847920868133104772675803547714097123565108627409621205792165066271071574863/16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1
16,6,1/4,boundary_s4,2,4,120120,153,18378360,45,1995311190690782757765713235219747518210715/44601490397061246283071436545296723011960832,1854212598051775357347887287286405175986530872848894519572413138033634668681171566963436061/2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,1
16,6,1/4,boundary_s5,1,5,48048,143,6870864,42,3659471394258661313405246258496022174563/87112285931760246646623899502532662132736,7010207839271535363926407865490732147682117932256490870167190602073732209275833130379/7770675568902916283677847627294075626569627356208558085007249638955617140820833992704,1
16,6,1/4,boundary_s6,0,6,8008,128,1025024,38,838416688867939437958626064875507773/21267647932558653966460912964485513216,52445555550515825008882443267310377938604575734242036562942186432451529611573/57896044618658097711785492504343953926634992332820282019728792003956564819968,1
16,6,1/4,containment_s7,0,7,11440,131,1498640,39,505289777978446054107545951589650695/10633823966279326983230456482242756608,52767575878899828827905759168325927142954183176377236578530182341801128964573/57896044618658097711785492504343953926634992332820282019728792003956564819968,1
16,6,1/4,containment_s8,0,8,12870,132,1698840,39,3204710289814042469817998955870632505/85070591730234615865843651857942052864,418042438392760072130168188454083257765191754897714298777054007071689663596959/463168356949264781694283940034751631413079938662562256157830336031652518559744,1
16,6,1/4,containment_s9,0,9,11440,131,1498640,39,505289777978446054107545951589650695/10633823966279326983230456482242756608,52767575878899828827905759168325927142954183176377236578530182341801128964573/57896044618658097711785492504343953926634992332820282019728792003956564819968,1
16,6,1/4,containment_s10,0,10,8008,128,1025024,38,838416688867939437958626064875507773/21267647932558653966460912964485513216,52445555550515825008882443267310377938604575734242036562942186432451529611573/57896044618658097711785492504343953926634992332820282019728792003956564819968,1
16,6,1/4,containment_s11,0,11,4368,121,528528,36,890414126746260451936204462585545/20769187434139310514121985316880384,399055439880886198440058722372538268673802310368560665469534821436249025/441711766194596082395824375185729628956870974218904739530401550323154944,1
16,6,1/4,containment_s12,0,12,1820,114,207480,34,23148161442266021041554012734395/649037107316853453566312041152512,24290910506908250998718361492762733559808205263669647648401410640231/26959946667150639794667015087019630673637144422540572481103610249216,1
16,6,1/4,containment_s13,0,13,560,103,57680,31,91457679838700210826514675/2475880078570760549798248448,181320098004673936577135226704527061308577191396796573436719/200867255532373784442745261542645325315275374222849104412672,1
16,6,1/4,containment_s14,0,14,120,88,10560,27,108519569033089030280565/2417851639229258349412352,5446510832991688397422361903652536914254988382732299/5986310706507378352962293074805895248510699696029696,1
16,6,1/4,containment_s15,0,15,16,67,1072,21,28272565277946109/576460752303423488,154385594503413623042228187418084641185/170141183460469231731687303715884105728,1
16,6,1/4,full_clamp,0,16,1,42,42,14,1496659417/34359738368,555786283484642355386633/604462909807314587353088,1
20,3,1/20,boundary_s0,3,0,1140,28,31920,3,1049655/33554432,51052457885008465110830371239305843/53687091200000000000000000000000000,1
