policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
1519,2;0;1;9;3,11/15,4/5,11/12,positive,10/9,121/250,positive,2,11/30,positive
1520,2;0;1;10;2,2/3,14/15,5/7,positive,64/45,5/16,positive,7/3,2/7,positive
1521,2;0;1;11;1,3/5,16/15,9/16,positive,82/45,81/410,positive,8/3,9/40,negative
1522,2;0;1;12;0,8/15,6/5,4/9,positive,104/45,8/65,positive,3,8/45,negative
1523,2;0;2;0;11,6/5,16/15,9/8,positive,28/15,27/35,positive,8/3,9/20,positive
1524,2;0;2;1;10,17/15,14/15,17/14,positive,64/45,289/320,positive,7/3,17/35,positive
1525,2;0;2;2;9,16/15,4/5,4/3,positive,16/15,16/15,positive,2,8/15,positive
1526,2;0;2;3;8,1,2/3,3/2,positive,4/5,5/4,positive,5/3,3/5,positive
1527,2;0;2;4;7,14/15,2/3,7/5,positive,28/45,7/5,positive,4/3,7/10,positive
1528,2;0;2;5;6,13/15,2/3,13/10,positive,8/15,169/120,positive,1,13/15,positive
1529,2;0;2;6;5,4/5,2/3,6/5,positive,8/15,6/5,positive,1,4/5,positive
1530,2;0;2;7;4,11/15,2/3,11/10,positive,28/45,121/140,positive,4/3,11/20,positive
1531,2;0;2;8;3,2/3,2/3,1,positive,4/5,5/9,positive,5/3,2/5,positive
1532,2;0;2;9;2,3/5,4/5,3/4,positive,16/15,27/80,positive,2,3/10,positive
1533,2;0;2;10;1,8/15,14/15,4/7,positive,64/45,1/5,positive,7/3,8/35,negative
1534,2;0;2;11;0,7/15,16/15,7/16,positive,28/15,7/60,positive,8/3,7/40,negative
1535,2;0;3;0;10,16/15,14/15,8/7,positive,68/45,64/85,positive,7/3,16/35,positive
1536,2;0;3;1;9,1,4/5,5/4,positive,10/9,9/10,positive,2,1/2,positive
1537,2;0;3;2;8,14/15,2/3,7/5,positive,4/5,49/45,positive,5/3,14/25,positive
1538,2;0;3;3;7,13/15,8/15,13/8,positive,26/45,13/10,positive,4/3,13/20,positive
1539,2;0;3;4;6,4/5,8/15,3/2,positive,4/9,36/25,positive,1,4/5,positive
1540,2;0;3;5;5,11/15,8/15,11/8,positive,2/5,121/90,positive,1,11/15,positive
1541,2;0;3;6;4,2/3,8/15,5/4,positive,4/9,1,positive,1,2/3,positive
1542,2;0;3;7;3,3/5,8/15,9/8,positive,26/45,81/130,positive,4/3,9/20,positive
1543,2;0;3;8;2,8/15,2/3,4/5,positive,4/5,16/45,positive,5/3,8/25,positive
1544,2;0;3;9;1,7/15,4/5,7/12,positive,10/9,49/250,positive,2,7/30,negative
1545,2;0;3;10;0,2/5,14/15,3/7,positive,68/45,9/85,positive,7/3,6/35,negative
1546,2;0;4;0;9,14/15,14/15,1,positive,56/45,7/10,positive,2,7/15,positive
1547,2;0;4;1;8,13/15,4/5,13/12,positive,8/9,169/200,positive,5/3,13/25,positive
1548,2;0;4;2;7,4/5,2/3,6/5,positive,28/45,36/35,positive,4/3,3/5,positive
1549,2;0;4;3;6,11/15,8/15,11/8,positive,4/9,121/100,positive,1,11/15,positive
1550,2;0;4;4;5,2/3,8/15,5/4,positive,16/45,5/4,positive,1,2/3,positive
1551,2;0;4;5;4,3/5,8/15,9/8,positive,16/45,81/80,positive,1,3/5,positive
1552,2;0;4;6;3,8/15,8/15,1,positive,4/9,16/25,positive,1,8/15,positive
1553,2;0;4;7;2,7/15,2/3,7/10,positive,28/45,7/20,positive,4/3,7/20,positive
1554,2;0;4;8;1,2/5,4/5,1/2,positive,8/9,9/50,positive,5/3,6/25,negative
1555,2;0;4;9;0,1/3,14/15,5/14,positive,56/45,5/56,positive,2,1/6,negative
1556,2;0;5;0;8,4/5,14/15,6/7,positive,16/15,3/5,positive,5/3,12/25,positive
1557,2;0;5;1;7,11/15,4/5,11/12,positive,34/45,121/170,positive,4/3,11/20,positive
1558,2;0;5;2;6,2/3,2/3,1,positive,8/15,5/6,positive,1,2/3,positive
1559,2;0;5;3;5,3/5,8/15,9/8,positive,2/5,9/10,positive,1,3/5,positive
1560,2;0;5;4;4,8/15,8/15,1,positive,16/45,4/5,positive,1,8/15,positive
1561,2;0;5;5;3,7/15,8/15,7/8,positive,2/5,49/90,positive,1,7/15,positive
1562,2;0;5;6;2,2/5,2/3,3/5,positive,8/15,3/10,positive,1,2/5,positive
1563,2;0;5;7;1,1/3,4/5,5/12,positive,34/45,5/34,positive,4/3,1/4,zero
1564,2;0;5;8;0,4/15,14/15,2/7,positive,16/15,1/15,positive,5/3,4/25,negative
1565,2;0;6;0;7,2/3,14/15,5/7,positive,44/45,5/11,positive,4/3,1/2,positive
1566,2;0;6;1;6,3/5,4/5,3/4,positive,32/45,81/160,positive,1,3/5,positive
1567,2;0;6;2;5,8/15,2/3,4/5,positive,8/15,8/15,positive,1,8/15,positive
1568,2;0;6;3;4,7/15,8/15,7/8,positive,4/9,49/100,positive,1,7/15,positive
1569,2;0;6;4;3,2/5,8/15,3/4,positive,4/9,9/25,positive,1,2/5,positive
1570,2;0;6;5;2,1/3,2/3,1/2,positive,8/15,5/24,positive,1,1/3,positive
1571,2;0;6;6;1,4/15,4/5,1/3,positive,32/45,1/10,positive,1,4/15,positive
1572,2;0;6;7;0,1/5,14/15,3/14,negative,44/45,9/220,negative,4/3,3/20,negative
1573,2;0;7;0;6,8/15,14/15,4/7,positive,44/45,16/55,positive,4/3,2/5,positive
1574,2;0;7;1;5,7/15,4/5,7/12,positive,34/45,49/170,positive,4/3,7/20,positive
1575,2;0;7;2;4,2/5,2/3,3/5,positive,28/45,9/35,positive,4/3,3/10,positive
1576,2;0;7;3;3,1/3,8/15,5/8,positive,26/45,5/26,positive,4/3,1/4,zero
1577,2;0;7;4;2,4/15,2/3,2/5,positive,28/45,4/35,positive,4/3,1/5,negative
1578,2;0;7;5;1,1/5,4/5,1/4,zero,34/45,9/170,negative,4/3,3/20,negative
1579,2;0;7;6;0,2/15,14/15,1/7,negative,44/45,1/55,negative,4/3,1/10,negative
1580,2;0;8;0;5,2/5,14/15,3/7,positive,16/15,3/20,positive,5/3,6/25,negative
1581,2;0;8;1;4,1/3,4/5,5/12,positive,8/9,1/8,positive,5/3,1/5,negative
1582,2;0;8;2;3,4/15,2/3,2/5,positive,4/5,4/45,positive,5/3,4/25,negative
1583,2;0;8;3;2,1/5,2/3,3/10,positive,4/5,1/20,negative,5/3,3/25,negative
1584,2;0;8;4;1,2/15,4/5,1/6,negative,8/9,1/50,negative,5/3,2/25,negative
1585,2;0;8;5;0,1/15,14/15,1/14,negative,16/15,1/240,negative,5/3,1/25,negative
1586,2;0;9;0;4,4/15,14/15,2/7,positive,56/45,2/35,negative,2,2/15,negative
1587,2;0;9;1;3,1/5,4/5,1/4,zero,10/9,9/250,negative,2,1/10,negative
1588,2;0;9;2;2,2/15,4/5,1/6,negative,16/15,1/60,negative,2,1/15,negative
1589,2;0;9;3;1,1/15,4/5,1/12,negative,10/9,1/250,negative,2,1/30,negative
1591,2;0;10;0;3,2/15,14/15,1/7,negative,68/45,1/85,negative,7/3,2/35,negative
1592,2;0;10;1;2,1/15,14/15,1/14,negative,64/45,1/320,negative,7/3,1/35,negative
1601,2;1;0;0;12,19/15,6/5,19/18,positive,104/45,361/520,positive,3,19/45,positive
1602,2;1;0;1;11,6/5,16/15,9/8,positive,82/45,162/205,positive,8/3,9/20,positive
1603,2;1;0;2;10,17/15,14/15,17/14,positive,64/45,289/320,positive,7/3,17/35,positive
1604,2;1;0;3;9,16/15,4/5,4/3,positive,10/9,128/125,positive,2,8/15,positive
1605,2;1;0;4;8,1,4/5,5/4,positive,8/9,9/8,positive,5/3,3/5,positive
1606,2;1;0;5;7,14/15,4/5,7/6,positive,34/45,98/85,positive,4/3,7/10,positive
1607,2;1;0;6;6,13/15,4/5,13/12,positive,32/45,169/160,positive,1,13/15,positive
1608,2;1;0;7;5,4/5,4/5,1,positive,34/45,72/85,positive,4/3,3/5,positive
1609,2;1;0;8;4,11/15,4/5,11/12,positive,8/9,121/200,positive,5/3,11/25,positive
1610,2;1;0;9;3,2/3,4/5,5/6,positive,10/9,2/5,positive,2,1/3,positive
1611,2;1;0;10;2,3/5,14/15,9/14,positive,64/45,81/320,positive,7/3,9/35,positive
1612,2;1;0;11;1,8/15,16/15,1/2,positive,82/45,32/205,positive,8/3,1/5,negative
1613,2;1;0;12;0,7/15,6/5,7/18,positive,104/45,49/520,positive,3,7/45,negative
1614,2;1;1;0;11,17/15,16/15,17/16,positive,82/45,289/410,positive,8/3,17/40,positive
1615,2;1;1;1;10,16/15,14/15,8/7,positive,62/45,128/155,positive,7/3,16/35,positive
1616,2;1;1;2;9,1,4/5,5/4,positive,46/45,45/46,positive,2,1/2,positive
1617,2;1;1;3;8,14/15,2/3,7/5,positive,34/45,98/85,positive,5/3,14/25,positive
1618,2;1;1;4;7,13/15,2/3,13/10,positive,26/45,13/10,positive,4/3,13/20,positive
1619,2;1;1;5;6,4/5,2/3,6/5,positive,22/45,72/55,positive,1,4/5,positive
1620,2;1;1;6;5,11/15,2/3,11/10,positive,22/45,11/10,positive,1,11/15,positive
1621,2;1;1;7;4,2/3,2/3,1,positive,26/45,10/13,positive,4/3,1/2,positive
1622,2;1;1;8;3,3/5,2/3,9/10,positive,34/45,81/170,positive,5/3,9/25,positive
1623,2;1;1;9;2,8/15,4/5,2/3,positive,46/45,32/115,positive,2,4/15,positive
1624,2;1;1;10;1,7/15,14/15,1/2,positive,62/45,49/310,positive,7/3,1/5,negative
1625,2;1;1;11;0,2/5,16/15,3/8,positive,82/45,18/205,positive,8/3,3/20,negative
1626,2;1;2;0;10,1,14/15,15/14,positive,64/45,45/64,positive,7/3,3/7,positive
1627,2;1;2;1;9,14/15,4/5,7/6,positive,46/45,98/115,positive,2,7/15,positive
1628,2;1;2;2;8,13/15,2/3,13/10,positive,32/45,169/160,positive,5/3,13/25,positive
1629,2;1;2;3;7,4/5,8/15,3/2,positive,22/45,72/55,positive,4/3,3/5,positive
1630,2;1;2;4;6,11/15,8/15,11/8,positive,16/45,121/80,positive,1,11/15,positive
1631,2;1;2;5;5,2/3,8/15,5/4,positive,14/45,10/7,positive,2/3,1,positive
1632,2;1;2;6;4,3/5,8/15,9/8,positive,16/45,81/80,positive,1,3/5,positive
1633,2;1;2;7;3,8/15,8/15,1,positive,22/45,32/55,positive,4/3,2/5,positive
1634,2;1;2;8;2,7/15,2/3,7/10,positive,32/45,49/160,positive,5/3,7/25,positive
1635,2;1;2;9;1,2/5,4/5,1/2,positive,46/45,18/115,positive,2,1/5,negative
1636,2;1;2;10;0,1/3,14/15,5/14,positive,64/45,5/64,positive,7/3,1/7,negative
1637,2;1;3;0;9,13/15,4/5,13/12,positive,10/9,169/250,positive,2,13/30,positive
1638,2;1;3;1;8,4/5,2/3,6/5,positive,34/45,72/85,positive,5/3,12/25,positive
1639,2;1;3;2;7,11/15,8/15,11/8,positive,22/45,11/10,positive,4/3,11/20,positive
1640,2;1;3;3;6,2/3,2/5,5/3,positive,14/45,10/7,positive,1,2/3,positive
1641,2;1;3;4;5,3/5,2/5,3/2,positive,2/9,81/50,positive,2/3,9/10,positive
1642,2;1;3;5;4,8/15,2/5,4/3,positive,2/9,32/25,positive,2/3,4/5,positive
1643,2;1;3;6;3,7/15,2/5,7/6,positive,14/45,7/10,positive,1,7/15,positive
1644,2;1;3;7;2,2/5,8/15,3/4,positive,22/45,18/55,positive,4/3,3/10,positive
1645,2;1;3;8;1,1/3,2/3,1/2,positive,34/45,5/34,positive,5/3,1/5,negative
1646,2;1;3;9;0,4/15,4/5,1/3,positive,10/9,8/125,positive,2,2/15,negative
1647,2;1;4;0;8,11/15,4/5,11/12,positive,8/9,121/200,positive,5/3,11/25,positive
1648,2;1;4;1;7,2/3,2/3,1,positive,26/45,10/13,positive,4/3,1/2,positive
1649,2;1;4;2;6,3/5,8/15,9/8,positive,16/45,81/80,positive,1,3/5,positive
1650,2;1;4;3;5,8/15,2/5,4/3,positive,2/9,32/25,positive,2/3,4/5,positive
1651,2;1;4;4;4,7/15,2/5,7/6,positive,8/45,49/40,positive,2/3,7/10,positive
1652,2;1;4;5;3,2/5,2/5,1,positive,2/9,18/25,positive,2/3,3/5,positive
1653,2;1;4;6;2,1/3,8/15,5/8,positive,16/45,5/16,positive,1,1/3,positive
1654,2;1;4;7;1,4/15,2/3,2/5,positive,26/45,8/65,positive,4/3,1/5,negative
1655,2;1;4;8;0,1/5,4/5,1/4,zero,8/9,9/200,negative,5/3,3/25,negative
1656,2;1;5;0;7,3/5,4/5,3/4,positive,34/45,81/170,positive,4/3,9/20,positive
1657,2;1;5;1;6,8/15,2/3,4/5,positive,22/45,32/55,positive,1,8/15,positive
1658,2;1;5;2;5,7/15,8/15,7/8,positive,14/45,7/10,positive,2/3,7/10,positive
1659,2;1;5;3;4,2/5,2/5,1,positive,2/9,18/25,positive,2/3,3/5,positive
1660,2;1;5;4;3,1/3,2/5,5/6,positive,2/9,1/2,positive,2/3,1/2,positive
1661,2;1;5;5;2,4/15,8/15,1/2,positive,14/45,8/35,positive,2/3,2/5,positive
1662,2;1;5;6;1,1/5,2/3,3/10,positive,22/45,9/110,positive,1,1/5,negative
1663,2;1;5;7;0,2/15,4/5,1/6,negative,34/45,2/85,negative,4/3,1/10,negative
1664,2;1;6;0;6,7/15,4/5,7/12,positive,32/45,49/160,positive,1,7/15,positive
1665,2;1;6;1;5,2/5,2/3,3/5,positive,22/45,18/55,positive,1,2/5,positive
1666,2;1;6;2;4,1/3,8/15,5/8,positive,16/45,5/16,positive,1,1/3,positive
1667,2;1;6;3;3,4/15,2/5,2/3,positive,14/45,8/35,positive,1,4/15,positive
1668,2;1;6;4;2,1/5,8/15,3/8,positive,16/45,9/80,positive,1,1/5,negative
1669,2;1;6;5;1,2/15,2/3,1/5,negative,22/45,2/55,negative,1,2/15,negative
1670,2;1;6;6;0,1/15,4/5,1/12,negative,32/45,1/160,negative,1,1/15,negative
1671,2;1;7;0;5,1/3,4/5,5/12,positive,34/45,5/34,positive,4/3,1/4,zero
1672,2;1;7;1;4,4/15,2/3,2/5,positive,26/45,8/65,positive,4/3,1/5,negative
1673,2;1;7;2;3,1/5,8/15,3/8,positive,22/45,9/110,positive,4/3,3/20,negative
1674,2;1;7;3;2,2/15,8/15,1/4,zero,22/45,2/55,negative,4/3,1/10,negative
1675,2;1;7;4;1,1/15,2/3,1/10,negative,26/45,1/130,negative,4/3,1/20,negative
1677,2;1;8;0;4,1/5,4/5,1/4,zero,8/9,9/200,negative,5/3,3/25,negative
1678,2;1;8;1;3,2/15,2/3,1/5,negative,34/45,2/85,negative,5/3,2/25,negative
1679,2;1;8;2;2,1/15,2/3,1/10,negative,32/45,1/160,negative,5/3,1/25,negative
1682,2;1;9;0;3,1/15,4/5,1/12,negative,10/9,1/250,negative,2,1/30,negative
1692,2;2;0;0;11,16/15,16/15,1,positive,28/15,64/105,positive,8/3,2/5,positive
1693,2;2;0;1;10,1,14/15,15/14,positive,64/45,45/64,positive,7/3,3/7,positive
1694,2;2;0;2;9,14/15,4/5,7/6,positive,16/15,49/60,positive,2,7/15,positive
1695,2;2;0;3;8,13/15,2/3,13/10,positive,4/5,169/180,positive,5/3,13/25,positive
1696,2;2;0;4;7,4/5,2/3,6/5,positive,28/45,36/35,positive,4/3,3/5,positive
1697,2;2;0;5;6,11/15,2/3,11/10,positive,8/15,121/120,positive,1,11/15,positive
1698,2;2;0;6;5,2/3,2/3,1,positive,8/15,5/6,positive,1,2/3,positive
1699,2;2;0;7;4,3/5,2/3,9/10,positive,28/45,81/140,positive,4/3,9/20,positive
1700,2;2;0;8;3,8/15,2/3,4/5,positive,4/5,16/45,positive,5/3,8/25,positive
1701,2;2;0;9;2,7/15,4/5,7/12,positive,16/15,49/240,positive,2,7/30,negative
1702,2;2;0;10;1,2/5,14/15,3/7,positive,64/45,9/80,positive,7/3,6/35,negative
1703,2;2;0;11;0,1/3,16/15,5/16,positive,28/15,5/84,negative,8/3,1/8,negative
1704,2;2;1;0;10,14/15,14/15,1,positive,64/45,49/80,positive,7/3,2/5,positive
1705,2;2;1;1;9,13/15,4/5,13/12,positive,46/45,169/230,positive,2,13/30,positive
1706,2;2;1;2;8,4/5,2/3,6/5,positive,32/45,9/10,positive,5/3,12/25,positive
1707,2;2;1;3;7,11/15,8/15,11/8,positive,22/45,11/10,positive,4/3,11/20,positive
1708,2;2;1;4;6,2/3,8/15,5/4,positive,16/45,5/4,positive,1,2/3,positive
1709,2;2;1;5;5,3/5,8/15,9/8,positive,14/45,81/70,positive,2/3,9/10,positive
1710,2;2;1;6;4,8/15,8/15,1,positive,16/45,4/5,positive,1,8/15,positive
1711,2;2;1;7;3,7/15,8/15,7/8,positive,22/45,49/110,positive,4/3,7/20,positive
1712,2;2;1;8;2,2/5,2/3,3/5,positive,32/45,9/40,positive,5/3,6/25,negative
1713,2;2;1;9;1,1/3,4/5,5/12,positive,46/45,5/46,positive,2,1/6,negative
1714,2;2;1;10;0,4/15,14/15,2/7,positive,64/45,1/20,negative,7/3,4/35,negative
1715,2;2;2;0;9,4/5,4/5,1,positive,16/15,3/5,positive,2,2/5,positive
1716,2;2;2;1;8,11/15,2/3,11/10,positive,32/45,121/160,positive,5/3,11/25,positive
1717,2;2;2;2;7,2/3,8/15,5/4,positive,4/9,1,positive,4/3,1/2,positive
1718,2;2;2;3;6,3/5,2/5,3/2,positive,4/15,27/20,positive,1,3/5,positive
1719,2;2;2;4;5,8/15,2/5,4/3,positive,8/45,8/5,positive,2/3,4/5,positive
1720,2;2;2;5;4,7/15,2/5,7/6,positive,8/45,49/40,positive,2/3,7/10,positive
1721,2;2;2;6;3,2/5,2/5,1,positive,4/15,3/5,positive,1,2/5,positive
1722,2;2;2;7;2,1/3,8/15,5/8,positive,4/9,1/4,positive,4/3,1/4,zero
1723,2;2;2;8;1,4/15,2/3,2/5,positive,32/45,1/10,positive,5/3,4/25,negative
1724,2;2;2;9;0,1/5,4/5,1/4,zero,16/15,3/80,negative,2,1/10,negative
1725,2;2;3;0;8,2/3,2/3,1,positive,4/5,5/9,positive,5/3,2/5,positive
1726,2;2;3;1;7,3/5,8/15,9/8,positive,22/45,81/110,positive,4/3,9/20,positive
1727,2;2;3;2;6,8/15,2/5,4/3,positive,4/15,16/15,positive,1,8/15,positive
1728,2;2;3;3;5,7/15,4/15,7/4,positive,2/15,49/30,positive,2/3,7/10,positive
1729,2;2;3;4;4,2/5,4/15,3/2,positive,4/45,9/5,positive,1/3,6/5,positive
1730,2;2;3;5;3,1/3,4/15,5/4,positive,2/15,5/6,positive,2/3,1/2,positive
1731,2;2;3;6;2,4/15,2/5,2/3,positive,4/15,4/15,positive,1,4/15,positive
1732,2;2;3;7;1,1/5,8/15,3/8,positive,22/45,9/110,positive,4/3,3/20,negative
1733,2;2;3;8;0,2/15,2/3,1/5,negative,4/5,1/45,negative,5/3,2/25,negative
1734,2;2;4;0;7,8/15,2/3,4/5,positive,28/45,16/35,positive,4/3,2/5,positive
1735,2;2;4;1;6,7/15,8/15,7/8,positive,16/45,49/80,positive,1,7/15,positive
1736,2;2;4;2;5,2/5,2/5,1,positive,8/45,9/10,positive,2/3,3/5,positive
1737,2;2;4;3;4,1/3,4/15,5/4,positive,4/45,5/4,positive,1/3,1,positive
1738,2;2;4;4;3,4/15,4/15,1,positive,4/45,4/5,positive,1/3,4/5,positive
1739,2;2;4;5;2,1/5,2/5,1/2,positive,8/45,9/40,positive,2/3,3/10,positive
1740,2;2;4;6;1,2/15,8/15,1/4,zero,16/45,1/20,negative,1,2/15,negative
1741,2;2;4;7;0,1/15,2/3,1/10,negative,28/45,1/140,negative,4/3,1/20,negative
1742,2;2;5;0;6,2/5,2/3,3/5,positive,8/15,3/10,positive,1,2/5,positive
1743,2;2;5;1;5,1/3,8/15,5/8,positive,14/45,5/14,positive,2/3,1/2,positive
1744,2;2;5;2;4,4/15,2/5,2/3,positive,8/45,2/5,positive,2/3,2/5,positive
1745,2;2;5;3;3,1/5,4/15,3/4,positive,2/15,3/10,positive,2/3,3/10,positive
1746,2;2;5;4;2,2/15,2/5,1/3,positive,8/45,1/10,positive,2/3,1/5,negative
1747,2;2;5;5;1,1/15,8/15,1/8,negative,14/45,1/70,negative,2/3,1/10,negative
1749,2;2;6;0;5,4/15,2/3,2/5,positive,8/15,2/15,positive,1,4/15,positive
1750,2;2;6;1;4,1/5,8/15,3/8,positive,16/45,9/80,positive,1,1/5,negative
1751,2;2;6;2;3,2/15,2/5,1/3,positive,4/15,1/15,positive,1,2/15,negative
1752,2;2;6;3;2,1/15,2/5,1/6,negative,4/15,1/60,negative,1,1/15,negative
1755,2;2;7;0;4,2/15,2/3,1/5,negative,28/45,1/35,negative,4/3,1/10,negative
1756,2;2;7;1;3,1/15,8/15,1/8,negative,22/45,1/110,negative,4/3,1/20,negative
1770,2;3;0;0;10,13/15,14/15,13/14,positive,68/45,169/340,positive,7/3,13/35,positive
1771,2;3;0;1;9,4/5,4/5,1,positive,10/9,72/125,positive,2,2/5,positive
1772,2;3;0;2;8,11/15,2/3,11/10,positive,4/5,121/180,positive,5/3,11/25,positive
1773,2;3;0;3;7,2/3,8/15,5/4,positive,26/45,10/13,positive,4/3,1/2,positive
1774,2;3;0;4;6,3/5,8/15,9/8,positive,4/9,81/100,positive,1,3/5,positive
1775,2;3;0;5;5,8/15,8/15,1,positive,2/5,32/45,positive,1,8/15,positive
1776,2;3;0;6;4,7/15,8/15,7/8,positive,4/9,49/100,positive,1,7/15,positive
1777,2;3;0;7;3,2/5,8/15,3/4,positive,26/45,18/65,positive,4/3,3/10,positive
1778,2;3;0;8;2,1/3,2/3,1/2,positive,4/5,5/36,positive,5/3,1/5,negative
1779,2;3;0;9;1,4/15,4/5,1/3,positive,10/9,8/125,positive,2,2/15,negative
1780,2;3;0;10;0,1/5,14/15,3/14,negative,68/45,9/340,negative,7/3,3/35,negative
1781,2;3;1;0;9,11/15,4/5,11/12,positive,10/9,121/250,positive,2,11/30,positive
1782,2;3;1;1;8,2/3,2/3,1,positive,34/45,10/17,positive,5/3,2/5,positive
1783,2;3;1;2;7,3/5,8/15,9/8,positive,22/45,81/110,positive,4/3,9/20,positive
1784,2;3;1;3;6,8/15,2/5,4/3,positive,14/45,32/35,positive,1,8/15,positive
1785,2;3;1;4;5,7/15,2/5,7/6,positive,2/9,49/50,positive,2/3,7/10,positive
1786,2;3;1;5;4,2/5,2/5,1,positive,2/9,18/25,positive,2/3,3/5,positive
1787,2;3;1;6;3,1/3,2/5,5/6,positive,14/45,5/14,positive,1,1/3,positive
1788,2;3;1;7;2,4/15,8/15,1/2,positive,22/45,8/55,positive,4/3,1/5,negative
1789,2;3;1;8;1,1/5,2/3,3/10,positive,34/45,9/170,negative,5/3,3/25,negative
1790,2;3;1;9;0,2/15,4/5,1/6,negative,10/9,2/125,negative,2,1/15,negative
1791,2;3;2;0;8,3/5,2/3,9/10,positive,4/5,9/20,positive,5/3,9/25,positive
1792,2;3;2;1;7,8/15,8/15,1,positive,22/45,32/55,positive,4/3,2/5,positive
1793,2;3;2;2;6,7/15,2/5,7/6,positive,4/15,49/60,positive,1,7/15,positive
1794,2;3;2;3;5,2/5,4/15,3/2,positive,2/15,6/5,positive,2/3,3/5,positive
1795,2;3;2;4;4,1/3,4/15,5/4,positive,4/45,5/4,positive,1/3,1,positive
1796,2;3;2;5;3,4/15,4/15,1,positive,2/15,8/15,positive,2/3,2/5,positive
1797,2;3;2;6;2,1/5,2/5,1/2,positive,4/15,3/20,positive,1,1/5,negative
1798,2;3;2;7;1,2/15,8/15,1/4,zero,22/45,2/55,negative,4/3,1/10,negative
1799,2;3;2;8;0,1/15,2/3,1/10,negative,4/5,1/180,negative,5/3,1/25,negative
1800,2;3;3;0;7,7/15,8/15,7/8,positive,26/45,49/130,positive,4/3,7/20,positive
1801,2;3;3;1;6,2/5,2/5,1,positive,14/45,18/35,positive,1,2/5,positive
1802,2;3;3;2;5,1/3,4/15,5/4,positive,2/15,5/6,positive,2/3,1/2,positive
1803,2;3;3;3;4,4/15,2/15,2,positive,2/45,8/5,positive,1/3,4/5,positive
1804,2;3;3;4;3,1/5,2/15,3/2,positive,2/45,9/10,positive,1/3,3/5,positive
1805,2;3;3;5;2,2/15,4/15,1/2,positive,2/15,2/15,positive,2/3,1/5,negative
1806,2;3;3;6;1,1/15,2/5,1/6,negative,14/45,1/70,negative,1,1/15,negative
1808,2;3;4;0;6,1/3,8/15,5/8,positive,4/9,1/4,positive,1,1/3,positive
1809,2;3;4;1;5,4/15,2/5,2/3,positive,2/9,8/25,positive,2/3,2/5,positive
1810,2;3;4;2;4,1/5,4/15,3/4,positive,4/45,9/20,positive,1/3,3/5,positive
1811,2;3;4;3;3,2/15,2/15,1,positive,2/45,2/5,positive,1/3,2/5,positive
1812,2;3;4;4;2,1/15,4/15,1/4,zero,4/45,1/20,negative,1/3,1/5,negative
1815,2;3;5;0;5,1/5,8/15,3/8,positive,2/5,1/10,positive,1,1/5,negative
1816,2;3;5;1;4,2/15,2/5,1/3,positive,2/9,2/25,positive,2/3,1/5,negative
1817,2;3;5;2;3,1/15,4/15,1/4,zero,2/15,1/30,negative,2/3,1/10,negative
1821,2;3;6;0;4,1/15,8/15,1/8,negative,4/9,1/100,negative,1,1/15,negative
1836,2;4;0;0;9,2/3,14/15,5/7,positive,56/45,5/14,positive,2,1/3,positive
1837,2;4;0;1;8,3/5,4/5,3/4,positive,8/9,81/200,positive,5/3,9/25,positive
1838,2;4;0;2;7,8/15,2/3,4/5,positive,28/45,16/35,positive,4/3,2/5,positive
1839,2;4;0;3;6,7/15,8/15,7/8,positive,4/9,49/100,positive,1,7/15,positive
1840,2;4;0;4;5,2/5,8/15,3/4,positive,16/45,9/20,positive,1,2/5,positive
1841,2;4;0;5;4,1/3,8/15,5/8,positive,16/45,5/16,positive,1,1/3,positive
1842,2;4;0;6;3,4/15,8/15,1/2,positive,4/9,4/25,positive,1,4/15,positive
1843,2;4;0;7;2,1/5,2/3,3/10,positive,28/45,9/140,positive,4/3,3/20,negative
1844,2;4;0;8;1,2/15,4/5,1/6,negative,8/9,1/50,negative,5/3,2/25,negative
1845,2;4;0;9;0,1/15,14/15,1/14,negative,56/45,1/280,negative,2,1/30,negative
1846,2;4;1;0;8,8/15,4/5,2/3,positive,8/9,8/25,positive,5/3,8/25,positive
1847,2;4;1;1;7,7/15,2/3,7/10,positive,26/45,49/130,positive,4/3,7/20,positive
1848,2;4;1;2;6,2/5,8/15,3/4,positive,16/45,9/20,positive,1,2/5,positive
1849,2;4;1;3;5,1/3,2/5,5/6,positive,2/9,1/2,positive,2/3,1/2,positive
1850,2;4;1;4;4,4/15,2/5,2/3,positive,8/45,2/5,positive,2/3,2/5,positive
1851,2;4;1;5;3,1/5,2/5,1/2,positive,2/9,9/50,positive,2/3,3/10,positive
1852,2;4;1;6;2,2/15,8/15,1/4,zero,16/45,1/20,negative,1,2/15,negative
1853,2;4;1;7;1,1/15,2/3,1/10,negative,26/45,1/130,negative,4/3,1/20,negative
1855,2;4;2;0;7,2/5,2/3,3/5,positive,28/45,9/35,positive,4/3,3/10,positive
1856,2;4;2;1;6,1/3,8/15,5/8,positive,16/45,5/16,positive,1,1/3,positive
1857,2;4;2;2;5,4/15,2/5,2/3,positive,8/45,2/5,positive,2/3,2/5,positive
1858,2;4;2;3;4,1/5,4/15,3/4,positive,4/45,9/20,positive,1/3,3/5,positive
1859,2;4;2;4;3,2/15,4/15,1/2,positive,4/45,1/5,positive,1/3,2/5,positive
