policy_id,counts,proxy_gain,q_infinity_movement,q_infinity_critical_epsilon,q_infinity_margin_sign,q_2_movement_squared,q_2_critical_epsilon_squared,q_2_margin_sign,q_1_movement,q_1_critical_epsilon,q_1_margin_sign
873,1;0;4;3;7,1,2/3,3/2,positive,2/3,3/2,positive,4/3,3/4,positive
874,1;0;4;4;6,14/15,2/3,7/5,positive,8/15,49/30,positive,1,14/15,positive
875,1;0;4;5;5,13/15,2/3,13/10,positive,22/45,169/110,positive,1,13/15,positive
876,1;0;4;6;4,4/5,2/3,6/5,positive,8/15,6/5,positive,1,4/5,positive
877,1;0;4;7;3,11/15,2/3,11/10,positive,2/3,121/150,positive,4/3,11/20,positive
878,1;0;4;8;2,2/3,4/5,5/6,positive,8/9,1/2,positive,5/3,2/5,positive
879,1;0;4;9;1,3/5,14/15,9/14,positive,6/5,3/10,positive,2,3/10,positive
880,1;0;4;10;0,8/15,16/15,1/2,positive,8/5,8/45,positive,7/3,8/35,negative
881,1;0;5;0;9,16/15,16/15,1,positive,62/45,128/155,positive,2,8/15,positive
882,1;0;5;1;8,1,14/15,15/14,positive,46/45,45/46,positive,5/3,3/5,positive
883,1;0;5;2;7,14/15,4/5,7/6,positive,34/45,98/85,positive,4/3,7/10,positive
884,1;0;5;3;6,13/15,2/3,13/10,positive,26/45,13/10,positive,1,13/15,positive
885,1;0;5;4;5,4/5,2/3,6/5,positive,22/45,72/55,positive,1,4/5,positive
886,1;0;5;5;4,11/15,2/3,11/10,positive,22/45,11/10,positive,1,11/15,positive
887,1;0;5;6;3,2/3,2/3,1,positive,26/45,10/13,positive,1,2/3,positive
888,1;0;5;7;2,3/5,4/5,3/4,positive,34/45,81/170,positive,4/3,9/20,positive
889,1;0;5;8;1,8/15,14/15,4/7,positive,46/45,32/115,positive,5/3,8/25,positive
890,1;0;5;9;0,7/15,16/15,7/16,positive,62/45,49/310,positive,2,7/30,negative
891,1;0;6;0;8,14/15,16/15,7/8,positive,56/45,7/10,positive,5/3,14/25,positive
892,1;0;6;1;7,13/15,14/15,13/14,positive,14/15,169/210,positive,4/3,13/20,positive
893,1;0;6;2;6,4/5,4/5,1,positive,32/45,9/10,positive,1,4/5,positive
894,1;0;6;3;5,11/15,2/3,11/10,positive,26/45,121/130,positive,1,11/15,positive
895,1;0;6;4;4,2/3,2/3,1,positive,8/15,5/6,positive,1,2/3,positive
896,1;0;6;5;3,3/5,2/3,9/10,positive,26/45,81/130,positive,1,3/5,positive
897,1;0;6;6;2,8/15,4/5,2/3,positive,32/45,2/5,positive,1,8/15,positive
898,1;0;6;7;1,7/15,14/15,1/2,positive,14/15,7/30,positive,4/3,7/20,positive
899,1;0;6;8;0,2/5,16/15,3/8,positive,56/45,9/70,positive,5/3,6/25,negative
900,1;0;7;0;7,4/5,16/15,3/4,positive,6/5,8/15,positive,4/3,3/5,positive
901,1;0;7;1;6,11/15,14/15,11/14,positive,14/15,121/210,positive,4/3,11/20,positive
902,1;0;7;2;5,2/3,4/5,5/6,positive,34/45,10/17,positive,4/3,1/2,positive
903,1;0;7;3;4,3/5,2/3,9/10,positive,2/3,27/50,positive,4/3,9/20,positive
904,1;0;7;4;3,8/15,2/3,4/5,positive,2/3,32/75,positive,4/3,2/5,positive
905,1;0;7;5;2,7/15,4/5,7/12,positive,34/45,49/170,positive,4/3,7/20,positive
906,1;0;7;6;1,2/5,14/15,3/7,positive,14/15,6/35,positive,4/3,3/10,positive
907,1;0;7;7;0,1/3,16/15,5/16,positive,6/5,5/54,positive,4/3,1/4,zero
908,1;0;8;0;6,2/3,16/15,5/8,positive,56/45,5/14,positive,5/3,2/5,positive
909,1;0;8;1;5,3/5,14/15,9/14,positive,46/45,81/230,positive,5/3,9/25,positive
910,1;0;8;2;4,8/15,4/5,2/3,positive,8/9,8/25,positive,5/3,8/25,positive
911,1;0;8;3;3,7/15,2/3,7/10,positive,38/45,49/190,positive,5/3,7/25,positive
912,1;0;8;4;2,2/5,4/5,1/2,positive,8/9,9/50,positive,5/3,6/25,negative
913,1;0;8;5;1,1/3,14/15,5/14,positive,46/45,5/46,positive,5/3,1/5,negative
914,1;0;8;6;0,4/15,16/15,1/4,zero,56/45,2/35,negative,5/3,4/25,negative
915,1;0;9;0;5,8/15,16/15,1/2,positive,62/45,32/155,positive,2,4/15,positive
916,1;0;9;1;4,7/15,14/15,1/2,positive,6/5,49/270,positive,2,7/30,negative
917,1;0;9;2;3,2/5,4/5,1/2,positive,10/9,18/125,positive,2,1/5,negative
918,1;0;9;3;2,1/3,4/5,5/12,positive,10/9,1/10,positive,2,1/6,negative
919,1;0;9;4;1,4/15,14/15,2/7,positive,6/5,8/135,negative,2,2/15,negative
920,1;0;9;5;0,1/5,16/15,3/16,negative,62/45,9/310,negative,2,1/10,negative
921,1;0;10;0;4,2/5,16/15,3/8,positive,8/5,1/10,positive,7/3,6/35,negative
922,1;0;10;1;3,1/3,14/15,5/14,positive,22/15,5/66,positive,7/3,1/7,negative
923,1;0;10;2;2,4/15,14/15,2/7,positive,64/45,1/20,negative,7/3,4/35,negative
924,1;0;10;3;1,1/5,14/15,3/14,negative,22/15,3/110,negative,7/3,3/35,negative
925,1;0;10;4;0,2/15,16/15,1/8,negative,8/5,1/90,negative,7/3,2/35,negative
926,1;0;11;0;3,4/15,16/15,1/4,zero,86/45,8/215,negative,8/3,1/10,negative
927,1;0;11;1;2,1/5,16/15,3/16,negative,82/45,9/410,negative,8/3,3/40,negative
928,1;0;11;2;1,2/15,16/15,1/8,negative,82/45,2/205,negative,8/3,1/20,negative
